,Answer_Score,Answer_Body,Answer_CommentCount,Id,CreationDate,Score,Body,CommentCount,AcceptedAnswerId,ViewCount,Title,Tags,AnswerCount,FavoriteCount,dect_title_que
22,53,"this warning is there because java is not actually storing type information at run-time in an object that uses generics.  thus, if object is actually a list, there will be no classcastexception at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  

this can cause further complications if items are added to the list, with this incorrect generic type information.  any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  

to remove the warning, try:

list list = (list) object;


however, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  the above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in eclipse (or a suppresswarning annotation).
",0,382,2008-08-02T08:58:27.540,81,"<p>What is the meaning of the <em>Java warning</em>?</p>

<blockquote>
  <p>Type safety: The cast from Object to List<Integer> is actually checking against the erased type List</p>
</blockquote>

<p>I get this warning when I try to cast an Object to a type with generic information, such as in the following code:</p>

<pre><code>Object object = getMyList();
List<Integer> list = (List<Integer>) object;
</code></pre>
",1,384.0,10014,What is the meaning of the type safety warning in certain Java generics casts?,<java><generics><warnings><casting><type-safety>,1,0.0,Question
23,22,"unfortunately the only api that isn't deprecated is located in the applicationservices framework, which doesn't have a bridge support file, and thus isn't available in the bridge. if you're wanting to use ctypes, you can use atsfontgetfilereference after looking up the atsfontref.

cocoa doesn't have any native support, at least as of 10.5, for getting the location of a font.
",0,469,2008-08-02T15:11:16.430,48,"<p>I am using the Photoshop's javascript API to find the fonts in a given PSD.</p>

<p>Given a font name returned by the API, I want to find the actual physical font file that font name corresponds to on the disc.</p>

<p>This is all happening in a python program running on OSX so I guess I'm looking for one of:</p>

<ul>
<li>Some Photoshop javascript</li>
<li>A Python function</li>
<li>An OSX API that I can call from python</li>
</ul>
",0,3040.0,4610,How can I find the full path to a font from its display name on a Mac?,<python><macos><fonts><photoshop>,6,,Question
24,9,"using fcgi with ruby is known to be very buggy. 

practically everybody has moved to mongrel for this reason, and i recommend you do the same.
",0,514,2008-08-02T17:26:39.793,24,"<p>I have a Ruby on Rails Website that makes HTTP calls to an external Web Service.</p>

<p>About once a day I get a SystemExit (stacktrace below) error email where a call to the service has failed.  If I then try the exact same query on my site moments later it works fine.
It's been happening since the site went live and I've had no luck tracking down what causes it.</p>

<p>Ruby is version 1.8.6 and rails is version 1.2.6.</p>

<p>Anyone else have this problem?</p>

<p>This is the error and stacktrace.</p>

<blockquote>
  <p>A SystemExit occurred
  /usr/local/lib/ruby/gems/1.8/gems/rails-1.2.6/lib/fcgi_handler.rb:116:in
  exit'
  /usr/local/lib/ruby/gems/1.8/gems/rails-1.2.6/lib/fcgi_handler.rb:116:in
  exit_now_handler'
  /usr/local/lib/ruby/gems/1.8/gems/activesupport-1.4.4/lib/active_support/inflector.rb:250:in
  to_proc' /usr/local/lib/ruby/1.8/net/protocol.rb:133:in call'
  /usr/local/lib/ruby/1.8/net/protocol.rb:133:in sysread'
  /usr/local/lib/ruby/1.8/net/protocol.rb:133:in rbuf_fill'
  /usr/local/lib/ruby/1.8/timeout.rb:56:in timeout'
  /usr/local/lib/ruby/1.8/timeout.rb:76:in timeout'
  /usr/local/lib/ruby/1.8/net/protocol.rb:132:in rbuf_fill'
  /usr/local/lib/ruby/1.8/net/protocol.rb:116:in readuntil'
  /usr/local/lib/ruby/1.8/net/protocol.rb:126:in readline'
  /usr/local/lib/ruby/1.8/net/http.rb:2017:in read_status_line'
  /usr/local/lib/ruby/1.8/net/http.rb:2006:in read_new'
  /usr/local/lib/ruby/1.8/net/http.rb:1047:in request'
  /usr/local/lib/ruby/1.8/net/http.rb:945:in request_get'
  /usr/local/lib/ruby/1.8/net/http.rb:380:in get_response'
  /usr/local/lib/ruby/1.8/net/http.rb:543:in start'
  /usr/local/lib/ruby/1.8/net/http.rb:379:in get_response'</p>
</blockquote>
",0,519.0,2287,Frequent SystemExit in Ruby when making HTTP calls,<ruby-on-rails><ruby><crash>,4,0.0,Question
25,18,"absolutely, especially dealing with lots of these permutations/combinations i can definitely see that the first pass would be an issue.

interesting implementation in python, though i wrote a nice one in c and ocaml based on ""algorithm 515"" (see below). he wrote his in fortran as it was common back then for all the ""algorithm xx"" papers, well, that assembly or c. i had to re-write it and make some small improvements to work with arrays not ranges of numbers. this one does random access, i'm still working on getting some nice implementations of the ones mentioned in knuth 4th volume fascicle 2. i'll an explanation of how this works to the reader. though if someone is curious, i wouldn't object to writing something up.

/** [combination c n p x]
 * get the [x]th lexicographically ordered set of [p] elements in [n]
 * output is in [c], and should be sizeof(int)*[p] */
void combination(int* c,int n,int p, int x){
    int i,r,k = 0;
    for(i=0;i<p-1;i++){
        c[i] = (i != 0) ? c[i-1] : 0;
        do {
            c[i]++;
            r = choose(n-c[i],p-(i+1));
            k = k + r;
        } while(k < x);
        k = k - r;
    }
    c[p-1] = c[p-2] + x - k;
}


~""algorithm 515: generation of a vector from the lexicographical index""; buckles, b. p., and lybanon, m. acm transactions on mathematical software, vol. 3, no. 2, june 1977.
",5,561,2008-08-02T21:34:24.223,29,"<p>I would like to test a function with a tuple from a set of fringe cases and normal values. For example, while testing a function which returns <code>true</code> whenever given three lengths that form a valid triangle, I would have specific cases, negative / small / large numbers, values close-to being overflowed, etc.; what is more, main aim is to generate combinations of these values, <em>with</em> or <em>without</em> repetition, in order to get a set of test data.</p>

<pre><code>(inf,0,-1), (5,10,1000), (10,5,5), (0,-1,5), (1000,inf,inf),
...
</code></pre>

<blockquote>
  <p><em>As a note: I actually know the answer to this, but it might be helpful for others, and a challenge for people here! --will post my answer later on.</em></p>
</blockquote>
",1,794.0,10951,How to use combinations of sets as test data,<unit-testing><language-agnostic><testing>,5,0.0,Question
26,24,"that actually sounds like iis's low level. if it is, then you won't be able to write to any file, not just the web.config.

here are the levels from iis's help file:





full (internal) - specifies unrestricted permissions. grants the asp.net application permissions to access any resource that is subject to operating system security. all privileged operations are supported.


high (web_hightrust.config) - specifies a high level of code access security, which means that the application cannot do any one of the following things by default:

  call unmanaged code.
  call serviced components.
  write to the event log.
  access message queuing service queues.
  access odbc, oledb, or oracle data sources.


medium (web_mediumtrust.config) - specifies a medium level of code access security, which means that, in addition to high trust level restrictions, the asp.net application cannot do any of the following things by default:

access files outside the application directory.
access the registry.
make network or web service calls.


low (web_lowtrust.config) - specifies a low level of code access security, which means that, in addition to medium trust level restrictions, the application cannot do any of the following things by default:

write to the file system.
call the assert method.


minimal (web_minimaltrust.config) - specifies a minimal level of code access security, which means that the application has only execute permissions.




i would suggest that if you are dead set on having an installer, have it create a web.config in memory that the user can save locally and ftp up afterward.
",1,562,2008-08-02T21:39:11.733,51,"<p>Uploading my first decently sized web app to my shared host provided me with a fresh set of challenges, by which I mean, sleepless nights. The issue was that I had most certainly not developed my application for medium trust (or had any clue what that was.) </p>

<p>I mitigated all of the issues, save one. </p>

<p>I had written an installer for the admin to be able to specify their connection string and other preferences, but I cannot find a way to write to a web.config in medium trust. Does anyone have a solution, or should I just be putting preferences in another file?</p>
",1,,4479,How to write to Web.Config in Medium Trust?,<c#><asp.net><medium-trust>,1,0.0,Question
27,252,"in java, the 'int' type is a primitive, whereas the 'integer' type is an object.

in c#, the 'int' type is the same as system.int32 and is a value type (ie more like the java 'int'). an integer (just like any other value types) can be boxed (""wrapped"") into an object. 



the differences between objects and primitives are somewhat beyond the scope of this question, but to summarize: 

objects provide facilities for polymorphism, are passed by reference (or more accurately have references passed by value), and are allocated from the heap. conversely, primitives are immutable types that are passed by value and are often allocated from the stack.
",10,564,2008-08-02T21:47:34.820,269,"<p>I was reading <em><a href=""https://rads.stackoverflow.com/amzn/click/com/1430209879"" rel=""noreferrer"" rel=""nofollow noreferrer"">More Joel on Software</a></em> when I came across <a href=""http://en.wikipedia.org/wiki/Joel_Spolsky"" rel=""noreferrer"">Joel Spolsky</a> saying something about a particular type of programmer knowing the difference between an <code>int</code> and an <code>Integer</code> in Java/C# (Object-Oriented Programming Languages).</p>

<p>So, what is the difference?</p>
",1,566.0,247710,What is the difference between an int and an Integer in Java and C#?,<c#><java><integer><int>,26,0.0,Question
28,55,"the canonical way is to use the built-in cursor iterator.

curs.execute('select * from people')
for row in curs:
    print row




you can use fetchall() to get all rows at once.

for row in curs.fetchall():
    print row


it can be convenient to use this to create a python list containing the values returned:

curs.execute('select first_name from people')
names = [row[0] for row in curs.fetchall()]


this can be useful for smaller result sets, but can have bad side effects if the result set is large.


you have to wait for the entire result set to be returned to
your client process.
you may eat up a lot of memory in your client to hold
the built-up list.
it may take a while for python to construct and deconstruct the
list which you are going to immediately discard anyways.




if you know there's a single row being returned in the result set you can call fetchone() to get the single row.

curs.execute('select max(x) from t')
maxvalue = curs.fetchone()[0]




finally, you can loop over the result set fetching one row at a time.  in general, there's no particular advantage in doing this over using the iterator.

row = curs.fetchone()
while row:
    print row
    row = curs.fetchone()

",2,594,2008-08-03T01:15:08.507,55,"<p>There are several ways to iterate over a result set. What are the tradeoff of each?</p>
",1,595.0,58127,cx_Oracle: How do I iterate over a result set?,<python><sql><database><oracle><cx-oracle>,3,0.0,Question
29,383,"another important but subtle difference between procs created with lambda and procs created with proc.new is how they handle the return statement:


in a lambda-created proc, the return statement returns only from the proc itself
in a proc.new-created proc, the return statement is a little more surprising: it returns control not just from the proc, but also from the method enclosing the proc!


here's lambda-created proc's return in action. it behaves in a way that you probably expect:

def whowouldwin

  mylambda = lambda {return ""freddy""}
  mylambda.call

  # mylambda gets called and returns ""freddy"", and execution
  # continues on the next line

  return ""jason""

end


whowouldwin
#=> ""jason""


now here's a proc.new-created proc's return doing the same thing. you're about to see one of those cases where ruby breaks the much-vaunted principle of least surprise:

def whowouldwin2

  myproc = proc.new {return ""freddy""}
  myproc.call

  # myproc gets called and returns ""freddy"", 
  # but also returns control from whowhouldwin2!
  # the line below *never* gets executed.

  return ""jason""

end


whowouldwin2         
#=> ""freddy""


thanks to this surprising behavior (as well as less typing), i tend to favor using lambda over proc.new when making procs.
",8,626,2008-08-03T06:40:54.120,345,"<p>In Ruby 1.8, there are subtle differences between proc/lambda on the one hand, and <code>Proc.new</code> on the other. </p>

<ul>
<li>What are those differences?</li>
<li>Can you give guidelines on how to decide which one to choose?</li>
<li>In Ruby 1.9, proc and lambda are different. What's the deal?</li>
</ul>
",3,723.0,82540,"When to use lambda, when to use Proc.new?",<ruby><lambda><proc>,14,0.0,Question
30,15,"have you tried changing the target cpu to x86 instead of ""any cpu"" in the advanced compiler options? i know that this solves some problems with other oledb providers by forcing the use of the 32-bit version.
",3,717,2008-08-03T15:07:10.073,31,"<p>I wrote a windows service using VB that read some legacy data from Visual Foxpro Databases to be inserted in SQL 2005. The problem is this use to run fine in Windows server 2003 32-Bits, but the client recently moved to Windows 2003 64-Bits and now the service won't work. I'm getting a message the the VFP .NET OLEdb provider is not found. I researched and everything seems to point out that there is no solution. Any Help, please...</p>
",0,799.0,11670,Why doesn't VFP .NET OLEdb provider work in 64 bit Windows?,<.net><sql-server-2005><oledb><legacy><visual-foxpro>,3,,Question
31,1029,"the activator class within the root system namespace is pretty powerful.

there are a lot of overloads for passing parameters to the constructor and such. check out the documentation at: 


  http://msdn.microsoft.com/en-us/library/system.activator.createinstance.aspx


or (new path)


  https://learn.microsoft.com/en-us/dotnet/api/system.activator.createinstance


here are some simple examples:

objecttype instance = (objecttype)activator.createinstance(objecttype);

objecttype instance = (objecttype)activator.createinstance(""myassembly"",""mynamespace.objecttype"");

",4,752,2008-08-03T16:29:03.607,896,"<p>One may not always know the <code>Type</code> of an object at compile-time, but may need to create an instance of the <code>Type</code>.  </p>

<p>How do you get a new object instance from a <code>Type</code>?</p>
",1,755.0,696855,How to create a new object instance from a Type,<c#><.net><performance><reflection><types>,11,0.0,Question
32,840,"important note: you have to sort your data first.

the part i didn't get is that in the example construction
groups = []
uniquekeys = []
for k, g in groupby(data, keyfunc):
   groups.append(list(g))    # store group iterator as a list
   uniquekeys.append(k)

k is the current grouping key, and g is an iterator that you can use to iterate over the group defined by that grouping key. in other words, the groupby iterator itself returns iterators.
here's an example of that, using clearer variable names:
from itertools import groupby

things = [(""animal"", ""bear""), (""animal"", ""duck""), (""plant"", ""cactus""), (""vehicle"", ""speed boat""), (""vehicle"", ""school bus"")]

for key, group in groupby(things, lambda x: x[0]):
    for thing in group:
        print(""a %s is a %s."" % (thing[1], key))
    print("""")
    

this will give you the output:

a bear is a animal.
a duck is a animal.
a cactus is a plant.
a speed boat is a vehicle.
a school bus is a vehicle.

in this example, things is a list of tuples where the first item in each tuple is the group the second item belongs to.
the groupby() function takes two arguments: (1) the data to group and (2) the function to group it with.
here, lambda x: x[0] tells groupby() to use the first item in each tuple as the grouping key.
in the above for statement, groupby returns three (key, group iterator) pairs - once for each unique key. you can use the returned iterator to iterate over each individual item in that group.
here's a slightly different example with the same data, using a list comprehension:
for key, group in groupby(things, lambda x: x[0]):
    listofthings = "" and "".join([thing[1] for thing in group])
    print(key + ""s:  "" + listofthings + ""."")

this will give you the output:

animals: bear and duck.
plants: cactus.
vehicles: speed boat and school bus.

",15,773,2008-08-03T18:27:09.687,664,"<p>I haven't been able to find an understandable explanation of how to actually use Python's <code>itertools.groupby()</code> function.  What I'm trying to do is this:</p>
<ul>
<li>Take a list - in this case, the children of an objectified <code>lxml</code> element</li>
<li>Divide it into groups based on some criteria</li>
<li>Then later iterate over each of these groups separately.</li>
</ul>
<p>I've reviewed <a href=""https://docs.python.org/3/library/itertools.html#itertools.groupby"" rel=""noreferrer"">the documentation</a>, but I've had trouble trying to apply them beyond a simple list of numbers.</p>
<p>So, how do I use of <code>itertools.groupby()</code>?  Is there another technique I should be using?  Pointers to good ""prerequisite"" reading would also be appreciated.</p>
",1,7286.0,421308,How do I use itertools.groupby()?,<python><python-itertools>,15,0.0,Question
